Individuo,lnsalario,educ,edad,edad2,urban,soltero,casado,femenino
3377,"2,1774",5,16,256,0,1,0,0
3378,"2,1774",5,29,841,1,0,1,0
3379,"2,1774",9,16,256,1,1,0,0
3380,"2,1774",9,18,324,1,1,0,0
3381,"2,1774",5,17,289,0,1,0,0
3382,"2,1774",5,53,2809,1,0,1,1
3383,"2,1774",9,22,484,0,1,0,0
3384,"2,1774",12,36,1296,0,0,1,0
3385,"2,1774",16,25,625,0,0,1,0
3386,"2,1774",9,18,324,1,1,0,0
3387,"2,1774",12,44,1936,0,0,1,0
3388,"2,1774",5,18,324,0,1,0,0
3389,"2,1774",12,22,484,0,0,1,0
3390,"2,0596",5,17,289,0,1,0,0
3391,"2,0596",5,50,2500,0,0,1,0
3392,"2,0233",5,16,256,0,1,0,0
3393,"2,0233",5,52,2704,1,0,0,1
3394,"2,0233",5,24,576,0,0,1,0
3395,"2,0233",9,22,484,0,1,0,0
3396,"1,9543",9,23,529,1,1,0,0
3397,"1,9543",9,16,256,1,1,0,0
3398,"1,8001",5,35,1225,0,0,1,0
3399,"1,7720",5,19,361,1,1,0,0
3400,"1,7720",5,38,1444,1,0,1,1
3401,"2,2182",5,19,361,0,1,0,0
3402,"2,4398",5,18,324,1,1,0,1
3403,"2,2575",9,17,289,0,1,0,0
3404,"3,3814",5,25,625,1,0,1,0
3405,"2,4651",5,22,484,1,1,0,0
3406,"2,4163",9,19,361,1,1,0,0
3407,"2,2828",10,23,529,1,1,0,0
3408,"2,2828",12,26,676,1,1,0,0
3409,"2,2828",12,59,3481,1,0,1,0
3410,"2,2828",5,21,441,0,0,1,0
3411,"2,2828",5,15,225,1,1,0,0
3412,"2,2828",5,14,196,0,1,0,0
3413,"2,2828",5,15,225,0,1,0,0
3414,"2,2828",5,18,324,0,1,0,0
3415,"2,2828",5,22,484,0,1,0,0
3416,"2,2828",5,24,576,1,1,0,0
3417,"2,2828",5,20,400,1,1,0,0
3418,"2,2828",12,18,324,1,1,0,0
3419,"2,2828",12,22,484,0,1,0,0
3420,"2,2828",12,22,484,0,1,0,0
3421,"2,2828",5,17,289,1,1,0,0
3422,"2,2828",5,18,324,1,1,0,0
3423,"2,2828",5,20,400,1,1,0,0
3424,"2,2828",5,40,1600,0,0,1,1
3425,"2,2828",9,40,1600,1,0,1,0
3426,"2,2828",5,23,529,1,1,0,0
3427,"2,2828",12,18,324,0,1,0,0
3428,"2,2828",12,20,400,0,0,1,0
3429,"2,2828",5,28,784,0,0,1,0
3430,"2,2828",5,40,1600,0,0,1,0
3431,"2,2828",12,22,484,0,0,1,0
3432,"2,2828",5,25,625,0,0,1,0
3433,"2,2828",5,50,2500,0,0,1,0
3434,"2,2828",12,27,729,1,1,0,0
3435,"2,2828",5,26,676,0,0,1,0
3436,"2,2828",9,29,841,1,1,0,0
3437,"2,2828",9,18,324,1,1,0,0
3438,"2,2828",5,25,625,0,0,1,0
3439,"2,2828",9,18,324,1,0,1,0
3440,"2,2828",10,25,625,1,1,0,0
3441,"2,2828",9,30,900,0,1,0,0
3442,"2,2828",5,42,1764,0,0,1,0
3443,"2,2828",9,24,576,1,0,1,0
3444,"2,2828",12,36,1296,0,0,1,0
3445,"2,2828",12,20,400,0,1,0,0
3446,"2,2828",5,18,324,0,1,0,0
3447,"2,2420",9,18,324,1,1,0,0
3448,"2,2027",5,50,2500,1,0,1,0
3449,"2,1837",5,35,1225,1,0,1,0
3450,"2,1650",5,18,324,1,1,0,1
3451,"2,1650",12,25,625,1,1,0,0
3452,"2,1286",5,55,3025,0,0,1,0
3453,"2,1286",5,32,1024,1,0,1,0
3454,"2,1286",5,50,2500,0,0,1,0
3455,"2,1286",12,38,1444,0,0,1,0
3456,"2,1286",10,20,400,0,1,0,0
3457,"2,1286",9,20,400,0,1,0,0
3458,"2,1286",9,22,484,0,1,0,0
3459,"2,1286",5,35,1225,0,0,1,0
3460,"2,0596",5,38,1444,1,0,1,0
3461,"2,0596",5,16,256,1,1,0,0
3462,"2,0596",5,17,289,1,1,0,0
3463,"2,0596",5,14,196,1,1,0,0
3464,"2,0596",5,45,2025,0,0,1,0
3465,"2,0108",9,24,576,0,0,1,0
3466,"1,9643",12,18,324,1,1,0,0
3467,"1,9055",5,26,676,1,0,1,0
3468,"1,9055",16,25,625,1,0,1,0
3469,"1,9055",5,26,676,0,0,1,0
3470,"1,8773",5,15,225,1,1,0,0
3471,"1,8773",5,27,729,1,1,0,0
3472,"2,3075",5,15,225,0,1,0,0
3473,"2,3075",5,19,361,0,1,0,0
3474,"1,7479",12,18,324,1,1,0,0
3475,"2,3220",5,27,729,0,0,1,0
3476,"2,3220",5,33,1089,0,0,1,0
3477,"2,3220",5,34,1156,1,0,1,0
3478,"2,3220",5,36,1296,0,0,1,0
3479,"2,4651",9,17,289,1,1,0,0
3480,"2,3741",5,23,529,1,1,0,0
3481,"2,3316",5,40,1600,0,0,1,0
3482,"2,3316",5,55,3025,0,0,1,0
3483,"2,3316",5,21,441,1,1,0,0
3484,"2,3316",5,21,441,1,1,0,0
3485,"2,3316",9,25,625,1,1,0,0
3486,"2,3551",12,21,441,1,1,0,0
3487,"3,0712",5,28,784,0,0,1,0
3488,"2,7836",9,16,256,0,1,0,0
3489,"2,6939",16,20,400,0,0,1,1
3490,"2,3781",12,23,529,0,1,0,0
3491,"2,3781",5,18,324,1,1,0,0
3492,"2,3781",5,21,441,0,1,0,0
3493,"2,3781",5,17,289,0,1,0,0
3494,"2,3781",5,19,361,0,1,0,0
3495,"2,3781",5,30,900,0,0,0,0
3496,"2,3781",5,39,1521,0,0,1,0
3497,"2,3781",5,18,324,0,1,0,0
3498,"2,3781",5,20,400,1,1,0,0
3499,"2,3781",9,18,324,0,1,0,0
3500,"2,3781",9,23,529,0,0,1,0
3501,"2,3781",12,22,484,0,0,1,0
3502,"2,3781",12,25,625,1,1,0,0
3503,"2,3781",12,20,400,1,1,0,0
3504,"2,3781",12,27,729,0,0,1,0
3505,"2,3781",5,25,625,1,1,0,0
3506,"2,3781",9,18,324,1,1,0,0
3507,"2,3781",12,28,784,0,0,1,0
3508,"2,3781",9,36,1296,0,0,1,0
3509,"2,2980",9,28,784,1,1,0,0
3510,"2,2603",10,20,400,1,1,0,0
3511,"2,2239",5,33,1089,1,0,1,0
3512,"2,1889",5,15,225,1,1,0,0
3513,"2,1549",5,38,1444,1,0,1,0
3514,"2,1549",10,25,625,1,0,1,0
3515,"2,1062",12,33,1089,1,0,1,0
3516,"1,9726",10,18,324,0,1,0,0
3517,"2,4006",12,35,1225,1,0,1,0
3518,"2,4006",5,16,256,1,1,0,0
3519,"2,4006",5,20,400,1,1,0,0
3520,"2,4006",5,26,676,1,1,0,0
3521,"2,4006",5,19,361,1,1,0,0
3522,"2,4006",5,22,484,1,1,0,0
3523,"2,4871",16,26,676,1,0,1,0
3524,"2,4225",5,40,1600,1,0,1,0
3525,"2,4225",12,25,625,0,1,0,0
3526,"2,4225",5,16,256,1,1,0,0
3527,"2,2684",9,19,361,0,1,0,0
3528,"2,0171",5,15,225,1,1,0,0
3529,"2,4355",5,20,400,1,1,0,0
3530,"2,4355",5,24,576,1,0,1,0
3531,"2,4372",12,50,2500,1,0,1,0
3532,"2,4372",12,52,2704,1,0,1,0
3533,"2,4372",12,45,2025,1,0,1,0
3534,"2,8495",5,26,676,1,0,1,0
3535,"2,6264",5,32,1024,1,0,1,0
3536,"2,4441",5,16,256,1,1,0,0
3537,"2,4441",5,18,324,1,1,0,0
3538,"2,4441",5,20,400,1,1,0,0
3539,"2,4441",5,21,441,1,1,0,0
3540,"2,4441",5,24,576,1,1,0,0
3541,"2,4441",5,28,784,1,1,0,0
3542,"2,6727",5,25,625,0,1,0,0
3543,"2,6474",5,53,2809,0,0,1,0
3544,"2,6474",5,38,1444,1,0,1,0
3545,"2,5986",12,23,529,1,1,0,0
3546,"2,5521",5,24,576,1,1,0,0
3547,"2,4651",10,18,324,1,1,0,0
3548,"2,4651",5,22,484,1,1,0,0
3549,"2,4651",9,29,841,1,0,1,0
3550,"2,4651",5,19,361,1,0,1,0
3551,"2,4651",5,30,900,1,0,1,0
3552,"2,4651",5,17,289,0,1,0,0
3553,"2,4651",12,20,400,0,1,0,0
3554,"2,4651",12,21,441,0,1,0,0
3555,"2,4651",5,32,1024,1,1,0,0
3556,"2,4651",5,36,1296,1,0,1,0
3557,"2,4651",5,16,256,1,1,0,0
3558,"2,4651",5,52,2704,1,0,1,0
3559,"2,4651",5,24,576,1,0,1,0
3560,"2,4651",5,35,1225,1,0,1,0
3561,"2,4651",5,38,1444,1,0,1,0
3562,"2,4651",12,19,361,0,1,0,0
3563,"2,4243",9,20,400,1,1,0,0
3564,"2,3851",5,36,1296,1,0,1,0
3565,"2,3110",5,25,625,1,0,1,0
3566,"2,3110",5,40,1600,0,0,1,0
3567,"2,3110",5,18,324,0,1,0,0
3568,"2,3110",5,20,400,0,1,0,0
3569,"2,2420",5,38,1444,1,0,1,0
3570,"2,0596",5,22,484,0,1,0,0
3571,"2,0596",5,20,400,0,1,0,0
3572,"2,0596",5,40,1600,1,0,1,0
